episode,R_collision,RC,OL,TTD,TTFC,Ego_Cols,Total_Cols,NPC_LDE,BG_LDE
258,0,0.5104466786783791,0,80,80,0,2,3.128878319418924,3.5523793572867928
259,0,0.6038302455848196,0,80,80,0,2,1.0883906113360302,1.722711519608825
260,0,0.6018645233371795,0,80,80,0,2,1.3555523979054052,1.7996120434611351
261,1,0.4311154104509874,0,80,50,1,2,0.7231390367001745,1.6006099293003349
262,1,0.36491636480774925,0,80,38,1,2,0.6465068142198321,0.8701073656646882
263,0,0.5664793841385224,0,80,80,0,0,2.3198025793994765,2.493713960100433
264,1,0.425879367135998,0,80,48,1,3,1.3709681450186422,1.2380445096025012
265,0,0.6045541968822387,0,80,80,0,0,1.5103992620712727,1.6742212247712076
266,1,0.32493986880827613,0,80,43,1,1,0.6400190692411026,1.04634842166041
267,0,0.6026222170733604,0,80,80,0,2,2.308811771941873,1.9453584280061504
268,0,0.58657720642395,0,80,80,0,1,1.9549687488031495,3.225354112544107
269,1,0.41590595729854746,0,80,47,1,2,0.9667181870955583,1.4377258366671903
270,0,0.5943399251400858,0,80,80,0,2,3.5055020378185975,1.8567013396507202
271,1,0.3896279500686129,0,80,42,1,1,0.5152897562697573,1.025023773268105
272,0,0.5665332790233322,0,80,80,0,3,3.1684397472741357,2.2498787628739034
273,0,0.6025916996700033,0,80,80,0,0,0.6131531665888937,1.7060279028056171
274,0,0.5709922043925308,0,80,80,0,2,1.972479790747914,1.951065793798388
275,1,0.38436916124482934,0,80,41,1,2,1.2365694085347503,1.2889273318708085
276,0,0.5485861369752347,0,80,80,0,2,2.401018747355073,2.91100643829751
277,0,0.5695413611876725,0,80,80,0,1,0.9960335077288341,2.3715409426799656
278,0,0.34843689860834537,0,80,80,0,2,2.5625462323577213,2.6298519118972314
279,1,0.43395509904555823,0,80,48,1,1,0.9562477259934941,1.0741473519162417
280,1,0.41889172202525016,0,80,47,1,3,1.4219284771647012,1.2631313128789876
281,1,0.27525601748067585,0,80,65,1,4,1.8352571454824804,2.097157533425585
282,0,0.6018645233371795,0,80,80,0,2,3.066569530924584,1.8536831512803178
283,1,0.37208024874946527,0,80,39,1,1,0.6685743977390334,0.9025459851801014
284,0,0.528896192860966,0,80,80,0,2,2.4820267420981135,2.963820579662129
285,1,0.4313598756463049,0,80,50,1,1,0.7882328542579898,1.370009541365001
286,0,0.6018645233371795,0,80,80,0,2,2.971631549483327,3.1072369602259355
287,0,0.6026292689286523,0,80,80,0,1,2.5201808313286103,2.745670150600794
288,0,0.5734622911822633,0,80,80,0,1,1.502738919758606,2.564553463870391
289,0,0.5825643565546256,0,80,80,0,2,1.3130589425471688,1.8573517693274664
290,1,0.46097064506636654,0,80,54,1,4,1.3202378653142273,1.2886791898388197
291,1,0.3777805773528342,0,80,42,1,2,1.3004610998164843,1.2666680701620756
292,0,0.5695413611876725,0,80,80,0,0,1.314494383516754,3.0013210408584317
293,0,0.2127742830598669,0,80,80,0,3,2.8521794785051555,3.578525899254922
294,0,0.6026222170733604,0,80,80,0,2,1.7090624560381462,1.651162831963585
295,1,0.42539431940338107,0,80,49,1,1,1.2434149284488034,1.4176254936710664
296,0,0.5773008485356818,0,80,80,0,3,1.7220228812223144,2.4495786601956304
297,0,0.6021099330541375,0,80,80,0,4,3.322511036547329,1.5383457113694927
298,0,0.5687288252859585,0,80,80,0,0,1.4698625507345084,2.82772059191694
299,0,0.5064210376660139,0,80,80,0,1,2.2581556716111666,2.7727376116354057
300,0,0.6026222170733604,0,80,80,0,2,1.945535098266192,3.051087613530489
301,0,0.5695413611876725,0,80,80,0,1,1.1275612301373088,1.9954916910009726
302,0,0.5689915026336105,0,80,80,0,0,1.6873435460301123,3.1953474358834226
303,1,0.3709318581748203,0,80,39,1,3,0.7393826059294968,0.9117255838725001
304,0,0.593902336375312,0,80,80,0,2,1.6557625141158516,2.3279824651889047
305,0,0.6021099330541375,0,80,80,0,3,2.6956660010128672,1.6785270741202976
306,1,0.4869665416758411,0,80,57,1,2,1.613872725695928,1.5858111528715797
307,0,0.5513915609031536,0,80,80,0,1,1.8346187391288267,2.4020523047933366
308,0,0.5896529215785592,0,80,80,0,3,2.5830309057819427,1.6049907784418658
309,0,0.6014406905267433,0,80,80,0,2,2.689766644333227,2.1810105907543074
310,1,0.25730859821494817,0,80,56,1,4,1.8271267600594943,1.8790672808948927
311,1,0.5069643365234999,0,80,61,1,2,1.136750812528294,2.0183841756316045
312,1,0.5424287929502325,0,80,74,1,1,0.8201390846321884,1.7059730475282204
313,0,0.6018645233371795,0,80,80,0,2,3.8035411024210983,1.7877194554558056
314,1,0.4478220865307882,0,80,52,1,2,1.7980257724987572,2.163632713386834
315,1,0.4716030611519687,0,80,54,1,4,2.8177996222649075,1.5026348748640568
316,1,0.3776572643729929,0,80,40,1,1,0.4230162790411864,0.9489792541024697
317,0,0.585633984832479,0,80,80,0,3,2.089758436696233,4.161152431373056
318,1,0.5070980564633027,0,80,61,1,2,1.0650653379050652,1.7703986163126368
319,0,0.5768131842118025,0,80,80,0,3,2.1332617398671947,3.238712034480406
320,1,0.4766479177981664,0,80,55,1,1,0.5185025731976279,1.433148583326733
321,1,0.4526142712544532,0,80,51,1,3,0.9084656360763379,1.1988839160020672
322,1,0.5242007921314045,0,80,69,1,2,2.097493587034249,2.329860660238368
323,0,0.5665332790233322,0,80,80,0,2,2.101848394434495,2.5679432640748403
324,1,0.3780514169258677,0,80,40,1,2,0.882832712924689,0.971792737974045
325,0,0.5665332790233322,0,80,80,0,2,1.0886496289416174,2.442786283160509
326,0,0.5986469271023912,0,80,80,0,2,2.771589141506506,3.6682548885881796
327,0,0.5943399251400858,0,80,80,0,2,1.9659847216425896,2.02001259007864
328,0,0.5782435204937756,0,80,80,0,0,1.8582344318162063,2.49024330307922
329,1,0.4605664637322607,0,80,52,1,3,0.732961394168898,1.3159994301946931
330,0,0.5093894710738568,0,80,80,0,2,1.8163388164813672,2.0357360149856016
331,0,0.5695413611876725,0,80,80,0,3,2.486201642581914,1.9103334472655182
332,0,0.5675274458692278,0,80,80,0,3,2.7644878607379666,2.6492111334046924
333,0,0.6027411670271288,0,80,80,0,3,2.3713412841844757,3.3073964840513876
334,1,0.45767481651040826,0,80,54,1,3,1.1644242404860725,1.2711608099563787
335,0,0.5695413611876725,0,80,80,0,0,0.8259975817939229,1.6357841608850405
336,1,0.4105715395548772,0,80,46,1,2,0.4907658344786939,1.3827036085465398
337,1,0.44180958372667417,0,80,49,1,1,0.5524201439129265,1.1168792349909855
338,1,0.49202016056931,0,80,58,1,2,1.0220742549277135,1.8240330591921898
339,1,0.44457899102150766,0,80,49,1,3,1.0917608076523615,1.1392347840212442
340,0,0.5291862057522981,0,80,80,0,1,2.4196288880430763,2.191444037633591
